     TURKIYE TURKCESININ DIGRAFIK PARAMETRELERI
         ( BOSLUK DAHIL , 30 KARAKTER ICIN )       

Digraf  Frekans      Log(F)     Log (F)   Olasilik    Gecis     Entropi
                                   C                 Olasilik
======  =======     ========    ========  ========   =========  ========
  HH         81     1.908485    0.368944  0.000013   0.001338   0.000212
  HI       1782     3.250908    0.628458  0.000287   0.029429   0.003382
  H$       6762     3.830075    0.740421  0.001091   0.111673   0.010735
  HJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  HK        367     2.564666    0.495795  0.000059   0.006061   0.000831
  HL       1139     3.056524    0.590880  0.000184   0.018810   0.002280
  HM        974     2.988559    0.577741  0.000157   0.016085   0.001985
  HN        137     2.136721    0.413066  0.000022   0.002263   0.000342
  HO       1608     3.206286    0.619832  0.000259   0.026556   0.003090
  H#         65     1.812913    0.350468  0.000010   0.001073   0.000173
  HP         93     1.968483    0.380543  0.000015   0.001536   0.000240
  HR        989     2.995196    0.579024  0.000160   0.016333   0.002013
  HS        743     2.870989    0.555013  0.000120   0.012270   0.001561
  H@        145     2.161368    0.417831  0.000023   0.002395   0.000360
  HT       1594     3.202488    0.619098  0.000257   0.026324   0.003067
  HU       1425     3.153815    0.609688  0.000230   0.023533   0.002779
  H"       1151     3.061075    0.591760  0.000186   0.019008   0.002302
  HV        436     2.639487    0.510260  0.000070   0.007200   0.000970
  HY         54     1.732394    0.334902  0.000009   0.000892   0.000146
  HZ        341     2.532754    0.489626  0.000055   0.005632   0.000778
  Hb       3360     3.526339    0.681704  0.000542   0.055489   0.005881

  IA         48     1.681241    0.325014  0.000008   0.000173   0.000131
  IB        204     2.309630    0.446492  0.000033   0.000737   0.000490
  IC       1466     3.166134    0.612070  0.000237   0.005294   0.002849
  I›        538     2.730782    0.527909  0.000087   0.001943   0.001171
  ID       2056     3.313023    0.640466  0.000332   0.007424   0.003834
  IE          4     0.602060    0.116389  0.000001   0.000014   0.000013
  IF        512     2.709270    0.523750  0.000083   0.001849   0.001120
  IG         35     1.544068    0.298496  0.000006   0.000126   0.000098
